"time","strata",".pred_survival"
30,"clusterCC=1, clusterFC=1, clusterTC=1",0.356608104391816
31,"clusterCC=1, clusterFC=1, clusterTC=1",0.348632380748271
32,"clusterCC=1, clusterFC=1, clusterTC=1",0.34092921471545
33,"clusterCC=1, clusterFC=1, clusterTC=1",0.333486046611224
34,"clusterCC=1, clusterFC=1, clusterTC=1",0.326291016040203
35,"clusterCC=1, clusterFC=1, clusterTC=1",0.319332920811657
36,"clusterCC=1, clusterFC=1, clusterTC=1",0.31260117763627
37,"clusterCC=1, clusterFC=1, clusterTC=1",0.306085784728337
38,"clusterCC=1, clusterFC=1, clusterTC=1",0.299777286376027
39,"clusterCC=1, clusterFC=1, clusterTC=1",0.293666739493276
40,"clusterCC=1, clusterFC=1, clusterTC=1",0.287745682130305
41,"clusterCC=1, clusterFC=1, clusterTC=1",0.282006103893363
42,"clusterCC=1, clusterFC=1, clusterTC=1",0.276440418205983
43,"clusterCC=1, clusterFC=1, clusterTC=1",0.27104143633194
44,"clusterCC=1, clusterFC=1, clusterTC=1",0.26580234307279
45,"clusterCC=1, clusterFC=1, clusterTC=1",0.260716674049191
46,"clusterCC=1, clusterFC=1, clusterTC=1",0.255778294474105
47,"clusterCC=1, clusterFC=1, clusterTC=1",0.250981379326905
48,"clusterCC=1, clusterFC=1, clusterTC=1",0.246320394839623
49,"clusterCC=1, clusterFC=1, clusterTC=1",0.241790081209777
50,"clusterCC=1, clusterFC=1, clusterTC=1",0.237385436457992
51,"clusterCC=1, clusterFC=1, clusterTC=1",0.2331017013528
52,"clusterCC=1, clusterFC=1, clusterTC=1",0.228934345329339
53,"clusterCC=1, clusterFC=1, clusterTC=1",0.224879053333085
54,"clusterCC=1, clusterFC=1, clusterTC=1",0.220931713524073
55,"clusterCC=1, clusterFC=1, clusterTC=1",0.217088405781337
56,"clusterCC=1, clusterFC=1, clusterTC=1",0.213345390951357
57,"clusterCC=1, clusterFC=1, clusterTC=1",0.209699100788218
58,"clusterCC=1, clusterFC=1, clusterTC=1",0.206146128536866
59,"clusterCC=1, clusterFC=1, clusterTC=1",0.202683220114329
60,"clusterCC=1, clusterFC=1, clusterTC=1",0.199307265847047
61,"clusterCC=1, clusterFC=1, clusterTC=1",0.196015292725483
62,"clusterCC=1, clusterFC=1, clusterTC=1",0.192804457140064
63,"clusterCC=1, clusterFC=1, clusterTC=1",0.18967203806512
64,"clusterCC=1, clusterFC=1, clusterTC=1",0.186615430659954
65,"clusterCC=1, clusterFC=1, clusterTC=1",0.183632140258462
66,"clusterCC=1, clusterFC=1, clusterTC=1",0.180719776720824
67,"clusterCC=1, clusterFC=1, clusterTC=1",0.177876049122727
68,"clusterCC=1, clusterFC=1, clusterTC=1",0.175098760759405
69,"clusterCC=1, clusterFC=1, clusterTC=1",0.172385804443427
70,"clusterCC=1, clusterFC=1, clusterTC=1",0.169735158076719
71,"clusterCC=1, clusterFC=1, clusterTC=1",0.167144880478714
72,"clusterCC=1, clusterFC=1, clusterTC=1",0.164613107453844
73,"clusterCC=1, clusterFC=1, clusterTC=1",0.162138048082789
74,"clusterCC=1, clusterFC=1, clusterTC=1",0.15971798122303
75,"clusterCC=1, clusterFC=1, clusterTC=1",0.15735125220528
76,"clusterCC=1, clusterFC=1, clusterTC=1",0.155036269713299
77,"clusterCC=1, clusterFC=1, clusterTC=1",0.152771502835526
78,"clusterCC=1, clusterFC=1, clusterTC=1",0.150555478277728
79,"clusterCC=1, clusterFC=1, clusterTC=1",0.148386777726632
80,"clusterCC=1, clusterFC=1, clusterTC=1",0.146264035355232
81,"clusterCC=1, clusterFC=1, clusterTC=1",0.144185935461044
82,"clusterCC=1, clusterFC=1, clusterTC=1",0.142151210229241
83,"clusterCC=1, clusterFC=1, clusterTC=1",0.1401586376131
84,"clusterCC=1, clusterFC=1, clusterTC=1",0.138207039324743
85,"clusterCC=1, clusterFC=1, clusterTC=1",0.136295278929579
86,"clusterCC=1, clusterFC=1, clusterTC=1",0.134422260038353
87,"clusterCC=1, clusterFC=1, clusterTC=1",0.132586924591045
88,"clusterCC=1, clusterFC=1, clusterTC=1",0.130788251227293
89,"clusterCC=1, clusterFC=1, clusterTC=1",0.129025253738336
90,"clusterCC=1, clusterFC=1, clusterTC=1",0.127296979595799
91,"clusterCC=1, clusterFC=1, clusterTC=1",0.125602508552947
92,"clusterCC=1, clusterFC=1, clusterTC=1",0.123940951314319
93,"clusterCC=1, clusterFC=1, clusterTC=1",0.122311448269898
94,"clusterCC=1, clusterFC=1, clusterTC=1",0.120713168290235
95,"clusterCC=1, clusterFC=1, clusterTC=1",0.119145307579142
96,"clusterCC=1, clusterFC=1, clusterTC=1",0.117607088580819
97,"clusterCC=1, clusterFC=1, clusterTC=1",0.116097758938422
98,"clusterCC=1, clusterFC=1, clusterTC=1",0.114616590501321
99,"clusterCC=1, clusterFC=1, clusterTC=1",0.113162878378404
100,"clusterCC=1, clusterFC=1, clusterTC=1",0.111735940034994
101,"clusterCC=1, clusterFC=1, clusterTC=1",0.110335114431064
102,"clusterCC=1, clusterFC=1, clusterTC=1",0.108959761198573
103,"clusterCC=1, clusterFC=1, clusterTC=1",0.107609259855895
104,"clusterCC=1, clusterFC=1, clusterTC=1",0.106283009057408
105,"clusterCC=1, clusterFC=1, clusterTC=1",0.104980425876434
106,"clusterCC=1, clusterFC=1, clusterTC=1",0.103700945119835
107,"clusterCC=1, clusterFC=1, clusterTC=1",0.102444018672648
108,"clusterCC=1, clusterFC=1, clusterTC=1",0.101209114871251
109,"clusterCC=1, clusterFC=1, clusterTC=1",0.099995717903631
110,"clusterCC=1, clusterFC=1, clusterTC=1",0.0988033272353982
111,"clusterCC=1, clusterFC=1, clusterTC=1",0.0976314570602919
112,"clusterCC=1, clusterFC=1, clusterTC=1",0.0964796357739591
113,"clusterCC=1, clusterFC=1, clusterTC=1",0.0953474054698801
114,"clusterCC=1, clusterFC=1, clusterTC=1",0.0942343214563702
115,"clusterCC=1, clusterFC=1, clusterTC=1",0.0931399517936371
116,"clusterCC=1, clusterFC=1, clusterTC=1",0.0920638768499436
117,"clusterCC=1, clusterFC=1, clusterTC=1",0.091005688875961
118,"clusterCC=1, clusterFC=1, clusterTC=1",0.0899649915964628
119,"clusterCC=1, clusterFC=1, clusterTC=1",0.0889413998185393
120,"clusterCC=1, clusterFC=1, clusterTC=1",0.0879345390555669
121,"clusterCC=1, clusterFC=1, clusterTC=1",0.086944045166204
122,"clusterCC=1, clusterFC=1, clusterTC=1",0.0859695640077211
123,"clusterCC=1, clusterFC=1, clusterTC=1",0.0850107511030088
124,"clusterCC=1, clusterFC=1, clusterTC=1",0.0840672713206464
125,"clusterCC=1, clusterFC=1, clusterTC=1",0.0831387985674384
126,"clusterCC=1, clusterFC=1, clusterTC=1",0.0822250154928601
127,"clusterCC=1, clusterFC=1, clusterTC=1",0.0813256132048831
128,"clusterCC=1, clusterFC=1, clusterTC=1",0.0804402909966751
129,"clusterCC=1, clusterFC=1, clusterTC=1",0.0795687560836954
130,"clusterCC=1, clusterFC=1, clusterTC=1",0.078710723350731
131,"clusterCC=1, clusterFC=1, clusterTC=1",0.0778659151084407
132,"clusterCC=1, clusterFC=1, clusterTC=1",0.0770340608589966
