"time","strata",".pred_hazard"
93,"CC=1, clusterFC=1, TC=2",0.0214281223979518
94,"CC=1, clusterFC=1, TC=2",0.0209687515122434
95,"CC=1, clusterFC=1, TC=2",0.0205258114141521
96,"CC=1, clusterFC=1, TC=2",0.0201050489624844
97,"CC=1, clusterFC=1, TC=2",0.0197108254889699
98,"CC=1, clusterFC=1, TC=2",0.0193462019780606
99,"CC=1, clusterFC=1, TC=2",0.0190130562751
100,"CC=1, clusterFC=1, TC=2",0.018712221519909
101,"CC=1, clusterFC=1, TC=2",0.018443635956923
102,"CC=1, clusterFC=1, TC=2",0.0182064956602181
103,"CC=1, clusterFC=1, TC=2",0.0179994033263795
104,"CC=1, clusterFC=1, TC=2",0.0178205079554725
105,"CC=1, clusterFC=1, TC=2",0.0176676318264747
106,"CC=1, clusterFC=1, TC=2",0.0175383825873623
107,"CC=1, clusterFC=1, TC=2",0.0174302494698608
108,"CC=1, clusterFC=1, TC=2",0.017340683585395
109,"CC=1, clusterFC=1, TC=2",0.0172671629670286
110,"CC=1, clusterFC=1, TC=2",0.0172072435135335
111,"CC=1, clusterFC=1, TC=2",0.0171585972968385
112,"CC=1, clusterFC=1, TC=2",0.0171190398474739
113,"CC=1, clusterFC=1, TC=2",0.0170865480685423
114,"CC=1, clusterFC=1, TC=2",0.0170592703787392
115,"CC=1, clusterFC=1, TC=2",0.0170355305763143
116,"CC=1, clusterFC=1, TC=2",0.0170138267711049
117,"CC=1, clusterFC=1, TC=2",0.0169928265685887
118,"CC=1, clusterFC=1, TC=2",0.0169713595215906
119,"CC=1, clusterFC=1, TC=2",0.0169484077013337
120,"CC=1, clusterFC=1, TC=2",0.016923095086256
121,"CC=1, clusterFC=1, TC=2",0.0168946763282587
122,"CC=1, clusterFC=1, TC=2",0.0168625253337162
123,"CC=1, clusterFC=1, TC=2",0.0168261239911702
124,"CC=1, clusterFC=1, TC=2",0.0167850512887151
125,"CC=1, clusterFC=1, TC=2",0.0167389729905487
126,"CC=1, clusterFC=1, TC=2",0.0166876319825759
127,"CC=1, clusterFC=1, TC=2",0.0166308393496513
128,"CC=1, clusterFC=1, TC=2",0.016568466210373
129,"CC=1, clusterFC=1, TC=2",0.0165004363076401
130,"CC=1, clusterFC=1, TC=2",0.0164267193329679
131,"CC=1, clusterFC=1, TC=2",0.0163473249484284
132,"CC=1, clusterFC=1, TC=2",0.0162622974608509
133,"CC=1, clusterFC=1, TC=2",0.0161717110975283
134,"CC=1, clusterFC=1, TC=2",0.0160756658302474
135,"CC=1, clusterFC=1, TC=2",0.0159742836942535
136,"CC=1, clusterFC=1, TC=2",0.0158677055501617
137,"CC=1, clusterFC=1, TC=2",0.0157560882393643
138,"CC=1, clusterFC=1, TC=2",0.0156396020867407
139,"CC=1, clusterFC=1, TC=2",0.0155184287081813
140,"CC=1, clusterFC=1, TC=2",0.0153927590843324
141,"CC=1, clusterFC=1, TC=2",0.0152627918658961
142,"CC=1, clusterFC=1, TC=2",0.015128731879653
143,"CC=1, clusterFC=1, TC=2",0.0149907888080228
144,"CC=1, clusterFC=1, TC=2",0.0148491760183883
145,"CC=1, clusterFC=1, TC=2",0.0147041095215466
146,"CC=1, clusterFC=1, TC=2",0.0145558070415018
147,"CC=1, clusterFC=1, TC=2",0.0144044871813735
149,"CC=1, clusterFC=1, TC=2",0.0140936696955912
150,"CC=1, clusterFC=1, TC=2",0.0139346072653495
151,"CC=1, clusterFC=1, TC=2",0.0137733966698701
152,"CC=1, clusterFC=1, TC=2",0.0136102509594736
153,"CC=1, clusterFC=1, TC=2",0.0134453804791088
154,"CC=1, clusterFC=1, TC=2",0.0132789924402197
155,"CC=1, clusterFC=1, TC=2",0.0131112905285321
157,"CC=1, clusterFC=1, TC=2",0.0127727400768746
158,"CC=1, clusterFC=1, TC=2",0.0126022781991708
159,"CC=1, clusterFC=1, TC=2",0.0124312752014087
160,"CC=1, clusterFC=1, TC=2",0.0122599123419724
161,"CC=1, clusterFC=1, TC=2",0.0120883656268933
162,"CC=1, clusterFC=1, TC=2",0.011916805612899
163,"CC=1, clusterFC=1, TC=2",0.0117453972338646
