"time","strata",".pred_hazard"
1,"clusterCC=1, clusterFC=1, clusterTC=1",0.0141018344079161
2,"clusterCC=1, clusterFC=1, clusterTC=1",0.0522333479156942
3,"clusterCC=1, clusterFC=1, clusterTC=1",0.0614815927104369
4,"clusterCC=1, clusterFC=1, clusterTC=1",0.0531734894378066
5,"clusterCC=1, clusterFC=1, clusterTC=1",0.0432854813582777
6,"clusterCC=1, clusterFC=1, clusterTC=1",0.0361928458482737
7,"clusterCC=1, clusterFC=1, clusterTC=1",0.0317753586307886
8,"clusterCC=1, clusterFC=1, clusterTC=1",0.0291157230361036
9,"clusterCC=1, clusterFC=1, clusterTC=1",0.0274767178247251
10,"clusterCC=1, clusterFC=1, clusterTC=1",0.0264002739206998
11,"clusterCC=1, clusterFC=1, clusterTC=1",0.0256269232590161
12,"clusterCC=1, clusterFC=1, clusterTC=1",0.0250155672923375
13,"clusterCC=1, clusterFC=1, clusterTC=1",0.0244910563333145
14,"clusterCC=1, clusterFC=1, clusterTC=1",0.0240139255325666
15,"clusterCC=1, clusterFC=1, clusterTC=1",0.0235637557583262
16,"clusterCC=1, clusterFC=1, clusterTC=1",0.0231302088185294
17,"clusterCC=1, clusterFC=1, clusterTC=1",0.0227082357605843
18,"clusterCC=1, clusterFC=1, clusterTC=1",0.0222955238844724
19,"clusterCC=1, clusterFC=1, clusterTC=1",0.0218911402958441
20,"clusterCC=1, clusterFC=1, clusterTC=1",0.0214948152462339
21,"clusterCC=1, clusterFC=1, clusterTC=1",0.0211065680079856
22,"clusterCC=1, clusterFC=1, clusterTC=1",0.0207271751952965
23,"clusterCC=1, clusterFC=1, clusterTC=1",0.0240754179966487
24,"clusterCC=1, clusterFC=1, clusterTC=1",0.159609627776012
25,"clusterCC=1, clusterFC=1, clusterTC=1",0.087927587296015
26,"clusterCC=1, clusterFC=1, clusterTC=1",0.02445224157896
27,"clusterCC=1, clusterFC=1, clusterTC=1",0.0236436975739918
28,"clusterCC=1, clusterFC=1, clusterTC=1",0.023341666528865
29,"clusterCC=1, clusterFC=1, clusterTC=1",0.0230472462436319
30,"clusterCC=1, clusterFC=1, clusterTC=1",0.022760199351228
31,"clusterCC=1, clusterFC=1, clusterTC=1",0.022480381233438
32,"clusterCC=1, clusterFC=1, clusterTC=1",0.0222076293886568
33,"clusterCC=1, clusterFC=1, clusterTC=1",0.0219417684566228
34,"clusterCC=1, clusterFC=1, clusterTC=1",0.0216826143500149
35,"clusterCC=1, clusterFC=1, clusterTC=1",0.0214299776030818
36,"clusterCC=1, clusterFC=1, clusterTC=1",0.0211836660535747
37,"clusterCC=1, clusterFC=1, clusterTC=1",0.0209434869671756
38,"clusterCC=1, clusterFC=1, clusterTC=1",0.0207092487015024
39,"clusterCC=1, clusterFC=1, clusterTC=1",0.0204807619932797
40,"clusterCC=1, clusterFC=1, clusterTC=1",0.0202578409391881
41,"clusterCC=1, clusterFC=1, clusterTC=1",0.020040303729088
42,"clusterCC=1, clusterFC=1, clusterTC=1",0.019827973180026
43,"clusterCC=1, clusterFC=1, clusterTC=1",0.0196206771106934
44,"clusterCC=1, clusterFC=1, clusterTC=1",0.0194182485886957
45,"clusterCC=1, clusterFC=1, clusterTC=1",0.0192205260769428
46,"clusterCC=1, clusterFC=1, clusterTC=1",0.0190273535004913
47,"clusterCC=1, clusterFC=1, clusterTC=1",0.0188385802511029
48,"clusterCC=1, clusterFC=1, clusterTC=1",0.018654061143462
